destination_actual_icao,braking_coefficient
VOMM,0.014452767
VIDP,0.025775285
VOBL,-0.065380004
VOCL,0.028658436
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
OMDB,0.038849742
VIJP,0.009322017
VECC,0.036477259
VAAH,0.031530764
VISR,-0.035371103
VOCL,0.023965393
VIDP,0.014481393
VEPT,
VIDP,0.061379259
VIDP,0.084059229
VIDP,0.041791492
VIDP,0.013966369
VIDP,0.036607966
VOBL,-0.031614898
VIDP,0.010032835
VOGO,0.019986125
VIDP,-0.008842893
VEPT,0.031937201
VIDP,0.053629063
VIDP,0.068235235
VOMM,0.018166856
VIBN,
VGHS,0.018819765
VOGO,
VEPT,0.050344834
VECC,0.028955646
VGHS,0.046659742
,
VABB,0.071711548
,
VECC,0.062662927
VECC,0.015438158
VEGT,0.080975156
VOHS,
VISR,0.033515745
VISR,0.035399799
VIDP,-0.020135893
VOGO,-0.049877014
VOCL,-0.022894098
VIJU,0.027225912
VABB,-0.017361805
VIJP,0.009877875
VOMM,0.056313533
VOGO,-0.029717826
VOMM,0.039653518
VEGK,0.014613849
VIDP,-0.041837831
VEGT,-0.050185085
VEBD,-0.043933473
VEPT,-0.013607071
VOGO,-0.005468648
VEPT,0.084884549
VIAR,-0.049142657
VABB,-0.033935551
VECC,
VECC,0.010860254
VGHS,0.042738044
VIDP,0.006187625
VIDP,0.019689824
VIDP,0.022382556
VEBD,-0.031316468
VISR,0.058443203
VEPT,-0.000480361
VEBD,-0.002333202
VOMM,-0.050860977
VECC,0.041257176
VECC,
VABB,
VOHS,0.012307162
VOMM,-0.034387849
VIDP,0.008386544
VOBL,0.009697293
VIJO,
VABB,0.077187365
VIDP,0.060873741
VABB,0.025482252
VIDP,0.014285836
VIDP,0.031426606
VABB,0.031593394
VOBL,-0.017593934
VIJP,0.005291551
VIDP,0.037899
VABB,-0.027897249
VILH,0.010256333
VIDP,0.006092673
VOHS,
VIDP,0.07090451
VECC,0.06747283
VOGO,-0.019422292
VIBN,
VIDP,-0.030677049
VAAH,-0.001982299
VOCL,0.010768112
VEGK,0.04871746
VOCI,0.046053499
VOMM,0.007043665
VOGO,0.09020186
VABB,0.043893139
VABB,0.029983668
VIBN,
VIDP,0.017778275
VABB,0.048590408
VOMM,0.013474189
VOBL,
VABB,0.035410319
VOGO,
VABB,0.050314903
VECX,0.070521223
VOBL,0.001557291
VIDP,
VIJP,
VVNB,
OMDB,0.037242093
VEPT,-0.008053154
VOGO,0.000875016
VOBL,0.012535999
VEGT,0.031340247
VEGT,0.047173913
VECC,-0.006891227
VOHS,0.066096505
VECC,-0.014261623
VABB,0.014631463
VECC,0.092730542
VEBD,0.028761803
VECC,0.029742752
VABB,0.054911564
VISR,0.04574055
VIDP,0.104711578
VABB,0.053225352
VIJR,0.004384836
VABB,0.060526078
WSSS,0.030571962
VOHS,
VEPT,0.017067597
,
VEPT,
VIDP,-0.01185867
VEGT,0.064193916
VIDP,0.087927579
VECC,0.046993413
VECX,0.043030609
VEGK,-0.008177054
VABB,0.058774621
VIDP,0.04236343
VIJP,0.045000734
VOBL,0.088433512
VEBD,0.007720294
VABB,0.006912675
VECC,0.025175473
VOHS,
VISR,0.005015448
VABB,-0.02365123
VABB,-0.032982919
VABB,-0.0014834
VOMM,-0.001260846
VIDP,0.0654838
VOMM,0.054198721
VIDP,
VEGT,0.085133006
VIDP,-0.004052109
OMRK,0.083778469
VIDP,-0.002700258
VOCL,0.03781875
VIDP,0.046690646
VABB,-0.013756483
VECC,0.015989419
VOPB,0.114555828
VABB,0.060801958
VEDG,0.023888466
VEGT,0.006586954
VIDP,0.008304505
VEGK,0.057984009
VECC,0.056274336
VIDP,0.006980136
VEKU,0.057645795
OMDB,-0.000303892
VISR,0.016045456
VABB,-0.04764348
VILH,0.043451801
VIDP,0.00263858
VIDP,0.057979147
VISR,0.002848556
VIDP,0.074411457
VGHS,0.06856503
VOBL,0.010651686
VOBL,
VABB,0.002960365
VIJU,0.071461646
VIDP,0.020774702
VEPT,0.009032167
VYYY,0.073362035
VIDP,0.041933329
VIDP,0.011197804
VABB,
,
VIDP,0.041290382
VIAR,-0.018823188
VEBD,0.052537398
VABB,0.041743026
VILH,0.051777997
VOGO,0.019270463
VOPB,0.079812269
VAAH,-0.014460835
VOGO,0.017905501
VABB,
VIJP,0.055883341
VEGT,0.01228992
VIDP,0.075724279
VEPT,-0.015928615
VIDP,0.04364553
VIDP,0.026779324
VOBL,0.034554428
VEGT,-0.029336104
VIDP,0.072406407
VRMM,0.089389449
VABB,0.061562806
OMDB,
VOMM,0.037535217
VIDP,-0.047096712
VAPO,0.041124988
VIDP,-0.01980343
VABB,0.043916821
VIJP,0.020398341
VABB,0.040523146
VAAH,
VABB,0.036128099
VIDP,0.026065159
VEPT,0.004773605
VIDP,0.028430775
VEPT,0.111230504
VECC,0.013787583
VIDP,0.022367151
VOBL,0.045195369
VEGT,0.072554961
VABB,0.018167788
VECC,-0.005762839
VERC,0.043438323
VIDP,0.046620764
VECC,0.033828796
VIDP,0.025356547
,
VABB,0.042030546
VIDP,0.012132344
VABB,-0.041427169
VOMD,0.121089225
VISR,0.100229771
VGHS,0.042952554
VECC,0.054471855
VOHS,-0.022358614
